2020-01-07 15:48:28.8290|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5000/bootstrap/dist/js/bootstrap.min.js.map   |url: http://localhost/bootstrap/dist/js/bootstrap.min.js.map|action: 
2020-01-07 15:48:28.8570|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/bootstrap/dist/js/bootstrap.min.js.map'. Physical path: 'D:\AxonProject\bijs\Bijs.Admin\Bijs.Admin.WebApi\wwwroot\bootstrap\dist\js\bootstrap.min.js.map' |url: http://localhost/bootstrap/dist/js/bootstrap.min.js.map|action: 
2020-01-07 15:48:28.8890|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/bootstrap/dist/css/bootstrap.css.map'. Physical path: 'D:\AxonProject\bijs\Bijs.Admin\Bijs.Admin.WebApi\wwwroot\bootstrap\dist\css\bootstrap.css.map' |url: http://localhost/bootstrap/dist/css/bootstrap.css.map|action: 
2020-01-07 15:48:28.8890|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 61.647ms 200 text/plain |url: http://localhost/bootstrap/dist/js/bootstrap.min.js.map|action: 
2020-01-07 15:48:28.8960|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 66.3232ms 200 text/plain |url: http://localhost/bootstrap/dist/css/bootstrap.css.map|action: 
2020-01-07 15:48:28.9250|3|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "RefreshPrice", controller = "Home"}. Executing controller action with signature Bijs.Admin.Dto.BaseOutput RefreshPrice(System.String) on controller Bijs.Admin.WebApi.Controllers.HomeController (Bijs.Admin.WebApi). |url: http://localhost/Home/RefreshPrice|action: RefreshPrice
2020-01-07 15:48:28.9460|1|INFO|Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor|Executing ObjectResult, writing value of type 'Microsoft.AspNetCore.Mvc.ProblemDetails'. |url: http://localhost/Home/RefreshPrice|action: RefreshPrice
2020-01-07 15:48:29.0300|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action Bijs.Admin.WebApi.Controllers.HomeController.RefreshPrice (Bijs.Admin.WebApi) in 101.2412ms |url: http://localhost/Home/RefreshPrice|action: RefreshPrice
2020-01-07 15:48:29.0300|1|INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executed endpoint 'Bijs.Admin.WebApi.Controllers.HomeController.RefreshPrice (Bijs.Admin.WebApi)' |url: http://localhost/Home/RefreshPrice|action: RefreshPrice
2020-01-07 15:48:29.0360|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 292.959ms 415 application/problem+json; charset=utf-8 |url: http://localhost/Home/RefreshPrice|action: RefreshPrice
2020-01-07 15:48:43.4669|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5000/home/index   |url: http://localhost/home/index|action: 
